file_name,transcript
-1048072287253840944.wav,Wie ist das Wetter?
-4664780067108594103.wav,lautstärke fünfzig prozent
-1356008374084030485.wav,wie warm ist es?
-1721791279923706343.wav,nächstes lied
-1804266037657434956.wav,schalte die schreibtischlampe an
-2254295960242588415.wav,wie warm ist es?
-2650545123439545563.wav,spiele meine playlist good vibes
-2885922673739509265.wav,spiele musik von george ezra
-3054160188261298530.wav,wie warm ist es?
-3140345446509399723.wav,schalte die schreibtischlampe an
-3255535706884190802.wav,wie warm ist es
-3260110239883201105.wav,schalte die leselampe aus
-3458784527839994859.wav,wie soll das wetter werden
-3505675475793140759.wav,wie soll das wetter werden
-3628841099932294804.wav,stopp
-3720632875834678692.wav,wie warm ist es
-3816373869755305672.wav,spiele musik von george ezra
-3915647696684559715.wav,spiele tom misch
-3919755180620350935.wav,wie warm ist es?
-4365617956290164931.wav,stopp
-5627124473825586219.wav,wie warm ist es?
-57146584618704176.wav,nächster song
-6295370598187156927.wav,spiele musik von george ezra
-6395150946001331075.wav,stelle einen timer auf drei minuten
-6864977951898798107.wav,wie warm ist es
-6945221211508557363.wav,weiter
-7155928024945667670.wav,spiele musik von george ezra
-7229002595491170769.wav,wie warm ist es?
-7443419035393087802.wav,wie warm ist es?
-781029990973593338.wav,spiele musik von george ezra
-8065899717403272559.wav,schalte die schreibtischlampe an
-8307350171193249867.wav,wie warm ist es?
-8649899826203028995.wav,wie soll das wetter werden?
-8662109648862597665.wav,wie soll das wetter morgen werden?
-908364769289161658.wav,stelle einen timer auf eine minute
-9104485477497906919.wav,wie warm ist es?
-9219321921546923899.wav,nächster
-929089241157026089.wav,wie warm ist es?
1335384650698003817.wav,schalte das licht aus
1374573672542296298.wav,spiele musik von george ezra
1833840819915314940.wav,schalte das licht an
1966185051758695485.wav,stopp
2188972486889499368.wav,wie warm ist es?
2274781927739465012.wav,schalte die schreibtischlampe aus
2586052084078713988.wav,wie soll das wetter werden
2881523674983819536.wav,welche temperatur haben wir?
2916361586207181553.wav,stopp
2986317971933442551.wav,schalte das licht aus
3262439443875331043.wav,stopp
3902190776610544951.wav,stopp
4111649670161357313.wav,mache die schreibtischlampe heller
4157860984905643438.wav,wie warm ist es?
4297305495353333258.wav,schalte die schreibtischlampe und die leselampe aus
4675182390853274760.wav,wie warm ist es draußen?
5384311615813345395.wav,wie warm ist es?
5610610031047761799.wav,weiter
5843144413122326437.wav,schalte die schreibtischlampe aus
5844629325737184626.wav,stopp
5951917220811449639.wav,stelle einen timer auf drei minuten
5971536822972356971.wav,nächstes lied
6088370699404778503.wav,wie warm ist es?
6188726337220268386.wav,wie warm ist es?
6431265506843456988.wav,schalte die schreibtischlampe aus
6597993263760585011.wav,stopp
6664138523960726010.wav,spiele meine playlist workout
6802470049658644978.wav,nächstes lied
6926645521162084341.wav,spiele musik von george ezra
6986889402278993051.wav,schalte die schreibtischlampe aus
7052143873203634884.wav,wie warm ist es draußen
7083240311905493680.wav,schalte die schreibtischlampe an
7310200299914494569.wav,wie warm ist es?
7680640145764897002.wav,schalte die schreibtischlampe aus
7870915523432461361.wav,stopp
7978985906274968365.wav,wie warm ist es?
8096478510743381349.wav,weiter
8145229645944103541.wav,wie soll das wetter werden?
8290046914643000611.wav,spiele musik von george ezra
8434788237000945914.wav,wie warm ist es?
8652738717293724797.wav,wie warm ist es?
8718191935873709757.wav,schalte die schreibtischlampe an
8831544086666500354.wav,schalte die schreibtischlampe aus
8884734985583247604.wav,nächster
9115564353508009885.wav,wie soll das wetter morgen werden?
