file_name,transcript,duration
-1048072287253840944.wav, Wie ist das Wetter?,18.545573999988846
-1356008374084030485.wav, Wie warm ist es?,20.385373099998105
-1721791279923706343.wav, Nächstes Lied,17.067515400005504
-1804266037657434956.wav, Schalte die Schreibtischlampe an.,18.051000599982217
-1989279303727964264.wav, Minha,81.18771079997532
-2254295960242588415.wav, Wie warm ist es?,17.3745153999771
-2356375025016486621.wav," Ja, also irgendwann würde ich am liebsten auch noch rauf.",19.221882799989544
-2650545123439545563.wav, Spiele meine Playlist Good Vibes.,18.003429500036873
-2885922673739509265.wav, Spiele Musik von George Ezra.,20.47580909996759
-3054160188261298530.wav, Wie warm ist es?,19.975528799986932
-3140345446509399723.wav, Schalte die Schreibtischlampe an.,21.14907739998307
-3255535706884190802.wav, Wie warm ist es?,19.525499899988063
-3260110239883201105.wav, Schalte die Leselampe aus.,20.051192400045693
-3458784527839994859.wav, Wie soll das Wetter werden?,18.610194800014142
-3505675475793140759.wav, Wie soll das Wetter werden?,18.192147800000384
-3628841099932294804.wav, Stop!,22.05212330003269
-3720632875834678692.wav, Wie warm ist es?,18.72034319996601
-3816373869755305672.wav, Spiele Musik von George S. Rock,20.062218600010965
-3915647696684559715.wav, Spiele Tom Misch,22.16972080001142
-3919755180620350935.wav, Wie warm ist das?,21.36375359998783
-4114479011575402682.wav," Yeah, why don't you take your Intuos and get it up, yeah! O.K. there we go",97.01493699999992
-4365617956290164931.wav, Stop!,18.77447350003058
-4382517413666015129.wav, Thank you for watching.,19.32967780000763
-4664780067108594103.wav, Lautstärke 50%.,19.95262220001314
-5427852797491776973.wav,,58.99938870000187
-5627124473825586219.wav, Wie warm ist es?,24.292381100007333
-57146584618704176.wav, Nächster Song,25.68627139995806
-6295370598187156927.wav, Spiele Musik von George S. Bach,25.390243400004692
-6395150946001331075.wav, Stelle einen Timer auf 3 Minuten.,23.598781200009398
-6418406677255623409.wav, Can I ask you a question? What channel are you on? I'm on YouTube,25.913473799999338
-6864977951898798107.wav, Wie warm ist es?,22.93745879997732
-6945221211508557363.wav, weiter,22.431371600017883
-7155928024945667670.wav, Spiele Musik von George Ezra.,21.749358600005507
-7229002595491170769.wav, Wie warm ist es?,23.814581500017084
-7252711668098592248.wav," ... und er hat den noch nicht. Ja, er hat den noch nicht.",25.796508500003256
-7443419035393087802.wav, Wie warm ist es?,23.950576399976853
-781029990973593338.wav, Spiele Musik von George Ezra,23.374774600029923
-7939437697514526047.wav," Was musst du denn dann noch extra einpacken, weil ich gesagt die Zahnlöscher haben ja drei",27.250600799976382
-8065899717403272559.wav, Schalte die Schreibtischlampe an.,23.031899199995678
-8307350171193249867.wav, Wie warm ist es?,22.528102900017984
-8335639914664763388.wav," Damit meldet der Verein das E-Mail auf, oder?",24.80611720000161
-8649899826203028995.wav, Wie soll das weiter werden?,22.73774690000573
-8662109648862597665.wav, Wie soll das Wetter morgen werden?,22.39402710000286
-908364769289161658.wav, Stelle einen Timer auf eine Minute.,23.746330699999817
-9104485477497906919.wav, Wie warm ist es?,21.497810500033665
-9219321921546923899.wav, Nächster,21.015029500005767
-929089241157026089.wav, Wie warm ist es?,20.835835599980783
1335384650698003817.wav, Schalte das Licht aus.,21.057051000010688
1374573672542296298.wav, Spiele Musik von George S. Ra.,21.587280399980955
1833840819915314940.wav, Schalte das Licht an.,23.7028716999921
1966185051758695485.wav, Stopp!,26.96069490001537
2188972486889499368.wav, Wie warm ist es?,28.318964899983257
2274781927739465012.wav, Schalte die Schreibtischlampe aus.,26.57802040001843
2586052084078713988.wav, Wie soll das Wetter werden?,25.849212599976454
2624689785381335944.wav,,22.672360499971546
2881523674983819536.wav, Welche Temperatur haben wir?,22.997530799999367
2916361586207181553.wav, Stop,21.71833310002694
2986317971933442551.wav, Schalte das Licht aus.,20.811963899992406
3262439443875331043.wav, Stop!,19.36691099999007
3640707785575690295.wav, Und dann noch ein Callback um Dongmyeong wieder zu funktionieren.,81.31317149999086
3902190776610544951.wav, Ehh stop,20.041544600040652
3915342670113925279.wav,ご視聴ありがとうございました,20.476566200028174
