file_name,transcript,duration
-1048072287253840944.wav,wie ist das wetter,0.9260684999171644
-1356008374084030485.wav,wie warm ist es,0.7283631999744102
-1721791279923706343.wav,nächstes lied,0.7360786999342963
-1804266037657434956.wav,schalte die schreibtischlampe an,0.6293920000316575
-2254295960242588415.wav,wie warm ist das,0.696906799916178
-2650545123439545563.wav,spiele meine playlist good walls,1.1556244000094011
-2885922673739509265.wav,spiele musik von george ezra,0.9279467000160366
-3054160188261298530.wav,wie warm ist es,0.6716141999932006
-3140345446509399723.wav,schalte die schreibtischlampe an,0.7916679000481963
-3255535706884190802.wav,wie warm ist es,0.5392711000749841
-3260110239883201105.wav,schaltet die leselampe aus,0.8948408999713138
-3458784527839994859.wav,wie soll das wetter werden,0.7794011000078171
-3505675475793140759.wav,wie soll das besser werden,0.7196478999685496
-3628841099932294804.wav,stopp,0.5333878999808803
-3720632875834678692.wav,wie warm ist es,0.6845428999513388
-3816373869755305672.wav,spiele musik von george etwa,1.0648304999340326
-3915647696684559715.wav,spiele tom mich,0.7726943000452593
-3919755180620350935.wav,wie warm ist das,0.8636804999550804
-4365617956290164931.wav,stopp,0.5047806999646127
-4664780067108594103.wav,lautstärke fünfzig prozent,1.1284309999318793
-5627124473825586219.wav,wie warm ist es,0.5924017999786884
-57146584618704176.wav,ah nix davon,1.212528600008227
-6295370598187156927.wav,spiele musik von sat essbar,1.618419999955222
-6395150946001331075.wav,stelle einen timer auf drei minuten,0.7485337000107393
-6864977951898798107.wav,wie warm ist das,0.708846699912101
-6945221211508557363.wav,weiter,0.503787099965848
-7155928024945667670.wav,spiele musik von george ezra,0.9031489000190049
-7229002595491170769.wav,wie warm ist es,0.5816931999288499
-7443419035393087802.wav,wie warm ist es,0.7481238000327721
-781029990973593338.wav,spiele musik von george ezra,0.876751699950546
-8065899717403272559.wav,schalte die schreibtischlampe an,0.7761270999908447
-8307350171193249867.wav,wie warm ist es,0.7345626000314951
-8649899826203028995.wav,wie soll das wetter werden,0.7192850999999791
-8662109648862597665.wav,wie soll das wetter morgen werden,0.7031343000708148
-908364769289161658.wav,stelle einen timer auf eine minute,0.7096370999934152
-9104485477497906919.wav,wie waren ist es,0.6718520999420434
-9219321921546923899.wav,nächst da,0.5778675000183284
-929089241157026089.wav,wie warm ist es,0.8535334999905899
1335384650698003817.wav,schalte das licht aus,0.6224911001045257
1374573672542296298.wav,spiele musik von george ezra,0.9684587999945506
1833840819915314940.wav,schalte das licht an,0.7118104000110179
1966185051758695485.wav,stopp,0.48207400005776435
2188972486889499368.wav,wie warm ist es,0.673059800057672
2274781927739465012.wav,schalte die schreibtischlampe aus,0.6926079998956993
2586052084078713988.wav,wie soll das wetter werden,0.6329847000306472
2881523674983819536.wav,welche temperatur haben wir,0.724538000067696
2916361586207181553.wav,stopp,0.48417890002019703
2986317971933442551.wav,schalte das licht aus,0.6443046999629587
3262439443875331043.wav,stopp,0.4664450000273064
3902190776610544951.wav,stopp,0.8625777999404818
4111649670161357313.wav,mache die schreibtischlampe heller,0.8568209999939427
4157860984905643438.wav,wie warm ist das,0.7392858999082819
4297305495353333258.wav,schalte die schreibtischlampe und die leselampe aus,0.9038873000536114
4675182390853274760.wav,wie warm ist es draußen,7.754957199911587
5384311615813345395.wav,wie warm ist es,0.6585229999618605
5610610031047761799.wav,weiter,0.4955556000350043
5843144413122326437.wav,ich schalte die schreibtischlampe aus,1.0077278000535443
5844629325737184626.wav,stopp,0.5658576000714675
5951917220811449639.wav,stelle einen timer auf drei minuten,0.830697700032033
5971536822972356971.wav,nächstes lied,0.7660749999340624
6088370699404778503.wav,wie waren ist es,0.7172709999140352
6188726337220268386.wav,wie warm ist es,0.6507083000615239
6431265506843456988.wav,schalte die schreibtischlampe aus,0.8390793000580743
6597993263760585011.wav,stopp,0.4984095999971032
6664138523960726010.wav,spiele meine playlist workout,1.0304489999543875
6802470049658644978.wav,nächstes lied,0.6471527999965474
6926645521162084341.wav,spielen sie fantausch essen waren,5.668070500018075
6986889402278993051.wav,schalte die schreibtischlampe aus,0.8018224999541417
7052143873203634884.wav,wie warm ist es draußen,0.7853870000690222
7083240311905493680.wav,schreibt schalte die schreibtischlampe an,0.9938246000092477
7310200299914494569.wav,wie warm ist es,0.8388410999905318
7680640145764897002.wav,schalte die schreibtischlampe aus,0.6322875000769272
7870915523432461361.wav,stopp,0.48825990001205355
7978985906274968365.wav,wie warm ist das,0.8363478999817744
8096478510743381349.wav,weiter,0.4837531999219209
8145229645944103541.wav,wie soll das wetter werden,0.5999116000020877
8290046914643000611.wav,spiele musik von george essbar,1.2395692000864074
8434788237000945914.wav,wie warm ist es,0.6224671999225393
8652738717293724797.wav,wie warm ist es,0.5735778999514878
8718191935873709757.wav,schalte die schreibtischlampe an einen,4.788740399992093
8831544086666500354.wav,schalte die schreibtischlampe aus,0.7412879999028519
8884734985583247604.wav,nächster,0.5593194001121446
9115564353508009885.wav,wie soll das wetter morgen werden,0.6615917000453919
